"364","1.27212","5","1.00895e-14"
"365","1.29215","5","9.99291e-15"
"366","1.31219","6","9.84629e-15"
"367","1.33222","5","9.75762e-15"
"368","1.35225","5","9.64554e-15"
"369","1.37229","5","9.51705e-15"
"370","1.39232","6","9.36155e-15"
"371","1.41235","6","9.2048e-15"
"372","1.43239","5","9.09818e-15"
"373","1.45242","6","8.93041e-15"
"374","1.47245","6","8.77287e-15"
"375","1.49249","6","8.60029e-15"
"376","1.51252","5","8.4924e-15"
"377","1.53255","5","8.29786e-15"
"378","1.55259","6","8.08326e-15"
"379","1.57262","6","7.89909e-15"
"380","1.59265","5","7.73678e-15"
"381","1.61269","5","7.54791e-15"
"382","1.63272","6","7.30736e-15"
"383","1.65275","6","7.10378e-15"
"384","1.67279","6","6.89317e-15"
"385","1.69282","6","6.68527e-15"
"386","1.71285","6","6.4659e-15"
"387","1.73289","6","6.25249e-15"
"388","1.75292","6","6.03629e-15"
"389","1.77295","6","5.81092e-15"
"390","1.79299","6","5.59554e-15"
"391","1.81302","6","5.38935e-15"
"392","1.83306","6","5.15636e-15"
"393","1.85309","6","4.95557e-15"
"394","1.87312","6","4.75724e-15"
"395","1.89316","6","4.55586e-15"
"396","1.91319","6","4.37881e-15"
"397","1.93322","6","4.19653e-15"
"398","1.95326","6","4.0236e-15"
"399","1.97329","6","3.8658e-15"
"400","1.99332","6","3.69437e-15"
"401","2.01336","6","3.55308e-15"
"402","2.03339","6","3.40681e-15"
"403","2.05342","6","3.27189e-15"
"404","2.07346","6","3.13851e-15"
"405","2.09349","7","2.99702e-15"
"406","2.11352","7","2.88213e-15"
"407","2.13356","7","2.76402e-15"
"408","2.15359","7","2.65525e-15"
"409","2.17362","7","2.5516e-15"
"410","2.19366","6","2.47266e-15"
"411","2.21369","6","2.37617e-15"
"412","2.23372","6","2.2809e-15"
"413","2.25376","7","2.1875e-15"
"414","2.27379","6","2.11362e-15"
"415","2.29382","6","2.03432e-15"
"416","2.31386","6","1.96309e-15"
"417","2.33389","7","1.88261e-15"
"418","2.35392","7","1.82013e-15"
"419","2.37396","6","1.75722e-15"
"420","2.39399","6","1.70166e-15"
"421","2.41402","7","1.63225e-15"
"422","2.43406","8","1.57672e-15"
"423","2.45409","7","1.52151e-15"
"424","2.47412","7","1.47732e-15"
"425","2.49416","8","1.42544e-15"
"426","2.51419","6","1.39093e-15"
"427","2.53422","7","1.33869e-15"
"428","2.55426","7","1.29669e-15"
"429","2.57429","7","1.25366e-15"
"430","2.59432","7","1.21852e-15"
"431","2.61436","8","1.17767e-15"
"432","2.63439","8","1.13748e-15"
"433","2.65442","8","1.10092e-15"
"434","2.67446","8","1.07189e-15"
"435","2.69449","8","1.03833e-15"
"436","2.71452","8","1.0036e-15"
"437","2.73456","7","9.78141e-16"
"438","2.75459","7","9.49241e-16"
"439","2.77462","8","9.19865e-16"
"440","2.79466","7","8.95285e-16"
"441","2.81469","8","8.69261e-16"
"442","2.83472","8","8.47725e-16"
"443","2.85476","8","8.24453e-16"
"444","2.87479","7","8.01034e-16"
"445","2.89482","8","7.77457e-16"
"446","2.91486","8","7.55183e-16"
"447","2.93489","8","7.3616e-16"
"448","2.95492","8","7.15673e-16"
"449","2.97496","8","6.94248e-16"
"450","2.99499","7","6.80505e-16"
"451","3.01503","8","6.57819e-16"
"452","3.03506","7","6.44671e-16"
"453","3.05509","8","6.2715e-16"
"454","3.07513","8","6.091e-16"
"455","3.09516","8","5.94995e-16"
"456","3.11519","8","5.79748e-16"
"457","3.13523","8","5.661e-16"
"458","3.15526","8","5.52712e-16"
"459","3.17529","8","5.37321e-16"
"460","3.19533","8","5.26497e-16"
"461","3.21536","8","5.12014e-16"
"462","3.23539","8","5.00783e-16"
"463","3.25543","8","4.85051e-16"
