Y;Fieldvalue
-1.2240E+01;6.9282E+00
-1.2239E+01;6.9296E+00
-1.2238E+01;6.9310E+00
-1.2237E+01;6.9324E+00
-1.2236E+01;6.9337E+00
-1.2235E+01;6.9351E+00
-1.2234E+01;6.9365E+00
-1.2233E+01;6.9379E+00
-1.2232E+01;6.9392E+00
-1.2231E+01;6.9406E+00
-1.2230E+01;6.9420E+00
-1.2229E+01;6.9434E+00
-1.2228E+01;6.9447E+00
-1.2227E+01;6.9461E+00
-1.2226E+01;6.9475E+00
-1.2225E+01;6.9489E+00
-1.2224E+01;6.9502E+00
-1.2223E+01;6.9516E+00
-1.2222E+01;6.9530E+00
-1.2221E+01;6.9544E+00
-1.2220E+01;6.9557E+00
-1.2219E+01;6.9571E+00
-1.2218E+01;6.9585E+00
-1.2217E+01;6.9598E+00
-1.2216E+01;6.9612E+00
-1.2215E+01;6.9626E+00
-1.2214E+01;6.9640E+00
-1.2213E+01;6.9653E+00
-1.2212E+01;6.9667E+00
-1.2211E+01;6.9681E+00
-1.2210E+01;6.9695E+00
-1.2209E+01;6.9708E+00
-1.2208E+01;6.9722E+00
-1.2207E+01;6.9736E+00
-1.2206E+01;6.9750E+00
-1.2205E+01;6.9763E+00
-1.2204E+01;6.9777E+00
-1.2203E+01;6.9791E+00
-1.2202E+01;6.9805E+00
-1.2201E+01;6.9818E+00
-1.2200E+01;6.9832E+00
-1.2199E+01;6.9846E+00
-1.2198E+01;6.9860E+00
-1.2197E+01;6.9873E+00
-1.2196E+01;6.9887E+00
-1.2195E+01;6.9901E+00
-1.2194E+01;6.9915E+00
-1.2193E+01;6.9928E+00
-1.2192E+01;6.9942E+00
-1.2191E+01;6.9956E+00
-1.2190E+01;6.9970E+00
-1.2189E+01;6.9983E+00
-1.2188E+01;6.9997E+00
-1.2187E+01;7.0011E+00
-1.2186E+01;7.0024E+00
-1.2185E+01;7.0038E+00
-1.2184E+01;7.0052E+00
-1.2183E+01;7.0066E+00
-1.2182E+01;7.0079E+00
-1.2181E+01;7.0093E+00
-1.2180E+01;7.0107E+00
-1.2179E+01;7.0121E+00
-1.2178E+01;7.0134E+00
-1.2177E+01;7.0148E+00
-1.2176E+01;7.0162E+00
-1.2175E+01;7.0176E+00
-1.2174E+01;7.0189E+00
-1.2173E+01;7.0203E+00
-1.2172E+01;7.0217E+00
-1.2171E+01;7.0231E+00
-1.2170E+01;7.0244E+00
-1.2169E+01;7.0258E+00
-1.2168E+01;7.0272E+00
-1.2167E+01;7.0286E+00
-1.2166E+01;7.0299E+00
-1.2165E+01;7.0313E+00
-1.2164E+01;7.0327E+00
-1.2163E+01;7.0341E+00
-1.2162E+01;7.0354E+00
-1.2161E+01;7.0368E+00
-1.2160E+01;7.0382E+00
-1.2159E+01;7.0396E+00
-1.2158E+01;7.0409E+00
-1.2157E+01;7.0423E+00
-1.2156E+01;7.0437E+00
-1.2155E+01;7.0450E+00
-1.2154E+01;7.0464E+00
-1.2153E+01;7.0478E+00
-1.2152E+01;7.0492E+00
-1.2151E+01;7.0505E+00
-1.2150E+01;7.0519E+00
-1.2149E+01;7.0533E+00
-1.2148E+01;7.0547E+00
-1.2147E+01;7.0560E+00
-1.2146E+01;7.0574E+00
-1.2145E+01;7.0588E+00
-1.2144E+01;7.0602E+00
-1.2143E+01;7.0615E+00
-1.2142E+01;7.0629E+00
-1.2141E+01;7.0643E+00
-1.2140E+01;7.0657E+00
-1.2139E+01;7.0670E+00
-1.2138E+01;7.0684E+00
-1.2137E+01;7.0698E+00
-1.2136E+01;7.0712E+00
-1.2135E+01;7.0725E+00
-1.2134E+01;7.0739E+00
-1.2133E+01;7.0753E+00
-1.2132E+01;7.0767E+00
-1.2131E+01;7.0780E+00
-1.2130E+01;7.0794E+00
-1.2129E+01;7.0808E+00
-1.2128E+01;7.0822E+00
-1.2127E+01;7.0835E+00
-1.2126E+01;7.0849E+00
-1.2125E+01;7.0863E+00
-1.2124E+01;7.0877E+00
-1.2123E+01;7.0890E+00
-1.2122E+01;7.0904E+00
-1.2121E+01;7.0918E+00
-1.2120E+01;7.0931E+00
-1.2119E+01;7.0945E+00
-1.2118E+01;7.0959E+00
-1.2117E+01;7.0973E+00
-1.2116E+01;7.0986E+00
-1.2115E+01;7.1000E+00
-1.2114E+01;7.1014E+00
-1.2113E+01;7.1028E+00
-1.2112E+01;7.1041E+00
-1.2111E+01;7.1055E+00
-1.2110E+01;7.1069E+00
-1.2109E+01;7.1083E+00
-1.2108E+01;7.1096E+00
-1.2107E+01;7.1110E+00
-1.2106E+01;7.1124E+00
-1.2105E+01;7.1138E+00
-1.2104E+01;7.1151E+00
-1.2103E+01;7.1165E+00
-1.2102E+01;7.1179E+00
-1.2101E+01;7.1193E+00
-1.2100E+01;7.1206E+00
-1.2099E+01;7.1220E+00
-1.2098E+01;7.1234E+00
-1.2097E+01;7.1248E+00
-1.2096E+01;7.1261E+00
-1.2095E+01;7.1275E+00
-1.2094E+01;7.1289E+00
-1.2093E+01;7.1303E+00
-1.2092E+01;7.1316E+00
-1.2091E+01;7.1330E+00
-1.2090E+01;7.1344E+00
-1.2089E+01;7.1358E+00
-1.2088E+01;7.1371E+00
-1.2087E+01;7.1385E+00
-1.2086E+01;7.1399E+00
-1.2085E+01;7.1412E+00
-1.2084E+01;7.1426E+00
-1.2083E+01;7.1440E+00
-1.2082E+01;7.1454E+00
-1.2081E+01;7.1467E+00
-1.2080E+01;7.1481E+00
-1.2079E+01;7.1495E+00
-1.2078E+01;7.1509E+00
-1.2077E+01;7.1522E+00
-1.2076E+01;7.1536E+00
-1.2075E+01;7.1550E+00
-1.2074E+01;7.1564E+00
-1.2073E+01;7.1577E+00
-1.2072E+01;7.1591E+00
-1.2071E+01;7.1605E+00
-1.2070E+01;7.1619E+00
-1.2069E+01;7.1632E+00
-1.2068E+01;7.1646E+00
-1.2067E+01;7.1660E+00
-1.2066E+01;7.1674E+00
-1.2065E+01;7.1687E+00
-1.2064E+01;7.1701E+00
-1.2063E+01;7.1715E+00
-1.2062E+01;7.1729E+00
-1.2061E+01;7.1742E+00
-1.2060E+01;7.1756E+00
-1.2059E+01;7.1770E+00
-1.2058E+01;7.1784E+00
-1.2057E+01;7.1797E+00
-1.2056E+01;7.1811E+00
-1.2055E+01;7.1825E+00
-1.2054E+01;7.1839E+00
-1.2053E+01;7.1852E+00
-1.2052E+01;7.1866E+00
-1.2051E+01;7.1880E+00
-1.2050E+01;7.1894E+00
-1.2049E+01;7.1907E+00
-1.2048E+01;7.1921E+00
-1.2047E+01;7.1935E+00
-1.2046E+01;7.1949E+00
-1.2045E+01;7.1962E+00
-1.2044E+01;7.1976E+00
-1.2043E+01;7.1990E+00
-1.2042E+01;7.2004E+00
-1.2041E+01;7.2017E+00
-1.2040E+01;7.2031E+00
-1.2039E+01;7.2045E+00
-1.2038E+01;7.2058E+00
-1.2037E+01;7.2072E+00
-1.2036E+01;7.2086E+00
-1.2035E+01;7.2100E+00
-1.2034E+01;7.2113E+00
-1.2033E+01;7.2127E+00
-1.2032E+01;7.2141E+00
-1.2031E+01;7.2155E+00
-1.2030E+01;7.2168E+00
-1.2029E+01;7.2182E+00
-1.2028E+01;7.2196E+00
-1.2027E+01;7.2210E+00
-1.2026E+01;7.2223E+00
-1.2025E+01;7.2237E+00
